Date,Asset_0,Asset_1,Asset_2,Asset_3,Asset_4
2020-01-01,100.0,100.0,100.0,100.0,100.0
2020-01-02,101.79895956590208,100.08079072911488,102.60803129509608,105.93909006742643,100.8747126854088
2020-01-03,101.46235361492334,102.28072573542326,104.16354322927783,105.93315899055128,102.1617119898272
2020-01-04,100.61658720720858,100.69813231813377,99.89957258509557,106.0131069838311,102.24705259514371
2020-01-05,98.36243636184984,98.73868492236801,97.01312401507775,106.72593147121712,100.90355533820386
2020-01-06,106.98800883405583,102.53002229826318,100.15948907739632,108.17659302915796,101.79146101683102
2020-01-07,108.54104089175298,101.49420011094959,100.04318296994266,107.46173289521026,101.73457108012715
2020-01-08,109.9105147236863,100.12645608375297,100.32149806676577,104.66343699163411,99.54547398384045
2020-01-09,110.25760050214782,100.54931849391315,101.74447159196538,103.65409675086583,97.62795564112086
2020-01-10,108.40086867884337,103.88776329195996,103.34657588758334,98.20472208520606,98.35044241364169
2020-01-11,107.79808224802584,102.7287593675847,103.83844811343722,99.38317722469182,99.60061879122627
2020-01-12,107.48511577322972,101.74182438740941,101.39740149965067,100.21255089138386,98.93020749467618
2020-01-13,106.8468638556282,102.76226870637345,103.43739236837813,100.57316399560041,100.72439808059073
2020-01-14,108.43935573858354,104.41578184699699,106.3773547404973,102.16812739455087,106.67303981261549
2020-01-15,106.97393657272016,104.13463577685297,105.54900667706009,101.84375123661623,103.40887717432437
2020-01-16,106.1410611031521,101.70606171923134,103.65260169340337,101.94247273006309,102.33273023027886
2020-01-17,105.48470252529717,102.86984672019044,104.2637695198795,101.42541983134721,103.14925722348386
2020-01-18,107.69938508680974,103.78795797956143,104.54010992850212,102.99444294049701,103.57651235246033
2020-01-19,107.12822578218372,104.07709760218935,104.8706896625161,103.02267016576444,103.27112101359553
2020-01-20,106.5158437840492,103.48377517611122,105.26696562963991,102.6500724471497,103.39427877686481
2020-01-21,103.3538996638087,102.94550111856333,104.31479392202716,99.1704959887037,102.08481185215497
2020-01-22,103.53339661332005,102.37781647419548,103.2824566822913,98.92931683085959,102.49104827078676
2020-01-23,103.15253381410923,102.22821648070996,101.50579967055121,100.07337516095645,103.36500795076199
2020-01-24,101.9396922453435,103.9181435440227,103.63160476595186,102.49103152347614,102.94663813738848
2020-01-25,102.07775330121605,102.51158983290193,102.53795698759582,102.20033564737798,101.8421097395087
2020-01-26,102.11217616867488,102.00139394405646,103.36891538122674,100.57860779727913,102.38646279325131
2020-01-27,100.74087352610977,100.47035710529661,102.23946781757034,100.959753555613,100.13766333929908
2020-01-28,102.84365364548366,104.85026890230063,103.28808164389612,102.0825187346,99.53699797882479
2020-01-29,104.71797855502413,106.22506548122111,104.47404267727916,103.2614665434606,100.86731617422149
2020-01-30,105.09504614863356,107.65201496096462,105.15014914825262,102.01252075665383,102.49582076080894
2020-01-31,107.22631851587946,106.81732270707025,106.62225644900539,104.16119318098917,102.1293587714667
2020-02-01,107.93282260841573,108.49330929289228,105.8928944350482,104.67762089230426,100.5853733904918
2020-02-02,106.71186048778551,108.01955084208191,106.02239606275276,104.79775344336193,101.50802997587188
2020-02-03,116.5513227099671,111.25119181645138,104.47037758319405,106.74109749553595,100.63129336410213
2020-02-04,118.29593567316586,111.56548441452213,105.99571202930841,106.73386656534534,102.21719663216076
2020-02-05,117.52977315164783,112.7368893729461,106.42047937562437,105.09654010863588,102.34261221872026
2020-02-06,118.23467855207362,113.32902986875833,105.51275804187198,106.68978463924205,102.70778129452287
2020-02-07,120.1952158051291,115.63608174844492,104.39734650574458,105.85357900324766,103.72830678281174
2020-02-08,121.1493411100876,115.96663409369357,105.94656473449425,108.48167115227035,104.5687455606734
2020-02-09,122.92003660666127,117.57969221363098,106.18569222971517,110.25344792529563,104.25793862689194
2020-02-10,122.50866423957521,117.41133987609471,105.29319287305535,107.33235040924842,104.10904482488601
2020-02-11,121.66882177578407,119.02596838955891,105.56383714261668,105.95673626106425,103.05798761259065
2020-02-12,122.9400384480506,123.56715911140014,109.5223327002726,109.68761245869123,106.20670646664824
2020-02-13,114.10151464661186,121.64569342270171,104.86895184545766,110.0973319891686,101.35031861839848
